,MeanChange,StdDev
SSP126,-54.58935767861553,12.858471002019698
SSP245,-77.82317560755833,7.96409185023977
SSP370,-90.42941654126469,5.123808303056272
SSP585,-94.49313460843233,5.532696588236922
