OBJECTID,Value,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,1,874,0.000126205600000,0.656958818435669,69.266006469726562,68.609047651290894,41.124751732605816,14.172122561994840,35943.033014297485352
2,2,755,0.000109022000000,8.607149124145508,65.651458740234375,57.044309616088867,39.450060843158241,8.545702588178690,29784.795936584472656
3,3,705,0.000101802000000,4.458974838256836,65.150070190429688,60.691095352172852,27.957611511446906,10.481959780710376,19710.116115570068359
4,4,557,0.000080430800000,0.000000000000000,63.510719299316406,63.510719299316406,25.977999609826497,12.461712022677547,14469.745782673358917
5,5,4190,0.000605036000000,0.328490197658539,67.669891357421875,67.341401159763336,28.884526011795874,14.846093506123042,121026.163989424705505
6,6,2318,0.000334719200000,0.734494209289551,67.476676940917969,66.742182731628418,24.146592785511888,13.522152031560273,55971.802076816558838
7,7,2244,0.000324033600000,0.000000000000000,62.200168609619141,62.200168609619141,20.212763061976052,14.808624401948830,45357.440311074256897
8,8,2086,0.000301218400000,0.000000000000000,52.787143707275391,52.787143707275391,17.651449265010292,13.355076936204133,36820.923166811466217
9,9,1826,0.000263674400000,0.464550197124481,58.834430694580078,58.369880497455597,27.857160445731154,11.081065254901851,50867.174973905086517
10,10,2643,0.000381649200000,0.656958818435669,68.777618408203125,68.120659589767456,37.572651331505000,12.085505709068830,99304.517469167709351
11,11,5413,0.000781637200000,0.000000000000000,74.167785644531250,74.167785644531250,31.893693139388780,11.619680079058130,172640.560963511466980
12,12,1551,0.000223964400000,2.563905715942383,78.064888000488281,75.500982284545898,40.793194812624627,12.476701242848199,63270.245154380798340
13,13,1380,0.000199272000000,0.734494209289551,64.097740173339844,63.363245964050293,31.976216013016909,11.246257802348836,44127.178097963333130
14,14,1144,0.000165193600000,0.734494209289551,68.364036560058594,67.629542350769043,35.515490929980380,11.574231445188170,40629.721623897552490
15,15,3568,0.000515219200000,0.328490197658539,63.016841888427734,62.688351690769196,26.236013716028278,10.023399728028915,93610.096938788890839
16,16,6051,0.000873764400000,0.000000000000000,65.329635620117188,65.329635620117188,26.677927328020932,11.596044193911348,161428.138261854648590
17,17,1084,0.000156529600000,0.734494209289551,66.338287353515625,65.603793144226074,34.150724857165805,12.459792919941110,37019.385745167732239
