time	basinflow(1)	basingw(1)
43819.45833	9974.86	1374.21
43819.5	9750.01	1373.9
43819.54167	9750.88	1373.58
43819.58333	9848.46	1373.27
43819.625	9941.78	1372.96
43819.66667	10120.9	1372.64
43819.70833	10253	1372.33
43819.75	10476.1	1372.02
43819.79167	10926.7	1371.71
43819.83333	11218.8	1371.39
43819.875	11364.8	1371.08
43819.91667	11476.7	1370.77
43819.95833	11630.7	1370.46
43820	11768.5	1370.14
43820.04167	11825.4	1369.83
43820.08333	11919.1	1369.52
43820.125	12036.2	1369.21
43820.16667	12220.8	1368.89
43820.20833	12340.1	1368.58
43820.25	12408.8	1368.27
43820.29167	12497.4	1367.96
43820.33333	12580.7	1367.64
43820.375	12675.4	1367.33
43820.41667	12765.9	1367.02
43820.45833	12859.6	1366.71
43820.5	12949.1	1366.39
43820.54167	13039.6	1366.08
43820.58333	13132	1365.77
43820.625	13226.1	1365.46
43820.66667	13314.6	1365.14
43820.70833	13401.3	1364.83
43820.75	13484.5	1364.52
43820.79167	13558.1	1364.21
43820.83333	13628.2	1363.89
43820.875	13697	1363.58
43820.91667	13767.1	1363.27
43820.95833	13877.8	1362.96
43821	13989.7	1362.65
43821.04167	14099.2	1362.33
43821.08333	14211.3	1362.02
43821.125	14317.3	1361.71
43821.16667	14376.9	1361.4
43821.20833	14459.7	1361.09
43821.25	14676.2	1360.77
43821.29167	14772	1360.46
43821.33333	14798.7	1360.15
43821.375	14840.3	1359.84
43821.41667	14853.6	1359.53
43821.45833	14857.6	1359.21
43821.5	14826.6	1358.9
43821.54167	14789.7	1358.59
43821.58333	14731.1	1358.28
43821.625	14705.7	1357.97
43821.66667	14715.6	1357.66
43821.70833	14711.6	1357.34
43821.75	14691.2	1357.03
43821.79167	14668.4	1356.72
43821.83333	14643.4	1356.41
43821.875	14622.4	1356.1
43821.91667	14602.8	1355.79
43821.95833	14586.5	1355.47
43822	14571	1355.16
43822.04167	14556.9	1354.85
43822.08333	14541.7	1354.54
43822.125	14525.5	1354.23
43822.16667	14510.6	1353.92
43822.20833	14497.4	1353.6
43822.25	14480.8	1353.29
43822.29167	14464.6	1352.98
43822.33333	14451	1352.67
43822.375	14433.5	1352.36
43822.41667	14416.5	1352.05
43822.45833	14401.3	1351.74
43822.5	14381.6	1351.42
43822.54167	14359.5	1351.11
43822.58333	14337.3	1350.8
43822.625	14314.6	1350.49
43822.66667	14291.4	1350.18
43822.70833	14265.6	1349.87
43822.75	14238.1	1349.56
43822.79167	14209.2	1349.25
43822.83333	14183.6	1348.93
43822.875	14215.1	1348.62
43822.91667	14238.8	1348.31
43822.95833	14276.7	1348
43823	14499.4	1347.69
43823.04167	14583.3	1347.38
43823.08333	14519.5	1347.07
43823.125	14484.9	1346.76
43823.16667	14411.8	1346.45
43823.20833	14342.6	1346.14
43823.25	14246.3	1345.82
43823.29167	14141.7	1345.51
43823.33333	14021.4	1345.2
43823.375	13892.4	1344.89
43823.41667	13761.1	1344.58
43823.45833	13634.3	1344.27
43823.5	13512.8	1343.96
43823.54167	13395.4	1343.65
43823.58333	13281.9	1343.34
43823.625	13177.3	1343.03
43823.66667	13106.5	1342.72
43823.70833	13069.4	1342.41
43823.75	13025	1342.1
43823.79167	12974.4	1341.79
43823.83333	13111.7	1341.47
43823.875	13291.5	1341.16
43823.91667	13255.7	1340.85
43823.95833	13159.7	1340.54
43824	13085.1	1340.23
43824.04167	13014.9	1339.92
43824.08333	12936.1	1339.61
43824.125	12842.1	1339.3
43824.16667	12736.9	1338.99
43824.20833	12624.8	1338.68
43824.25	12513	1338.37
43824.29167	12403.9	1338.06
43824.33333	12297.9	1337.75
43824.375	12196	1337.44
43824.41667	12098	1337.13
43824.45833	12003.2	1336.82
43824.5	11911.1	1336.51
43824.54167	11821.1	1336.2
43824.58333	11732.9	1335.89
43824.625	11646.1	1335.58
43824.66667	11586.3	1335.27
43824.70833	11585.1	1334.96
43824.75	11576.4	1334.65
43824.79167	11534	1334.34
43824.83333	11503	1334.03
43824.875	11463.9	1333.72
43824.91667	11503	1333.41
43824.95833	11523.3	1333.1
43825	11443.5	1332.79
43825.04167	11374	1332.48
43825.08333	11319.9	1332.17
43825.125	11267.4	1331.86
43825.16667	11202.7	1331.55
43825.20833	11138.1	1331.24
43825.25	11070.8	1330.93
43825.29167	11002	1330.62
43825.33333	10931.9	1330.31
43825.375	10860.5	1330
43825.41667	10788	1329.69
43825.45833	10714.3	1329.38
43825.5	10639.5	1329.07
43825.54167	10563.8	1328.76
43825.58333	10487.8	1328.45
43825.625	10412.1	1328.15
43825.66667	10336.8	1327.84
43825.70833	10261.8	1327.53
43825.75	10188.3	1327.22
43825.79167	10129.4	1326.91
43825.83333	10068.4	1326.6
43825.875	9993.19	1326.29
43825.91667	9919.59	1325.98
43825.95833	9847.37	1325.67
43826	9777	1325.36
43826.04167	9708.12	1325.05
