time	basinflow(1)	basingw(1)
units	(m^3/int)	(m^3/int)
42868.45833	6743.99	1086.75
42868.5	6723.46	1087.2
42868.54167	6689.24	1087.65
42868.58333	6640.52	1088.09
42868.625	6579.38	1088.54
42868.66667	6519.7	1088.99
42868.70833	6479.78	1089.43
42868.75	6453.98	1089.88
42868.79167	6427.56	1090.32
42868.83333	6406.18	1090.77
42868.875	6394.1	1091.21
42868.91667	6385.48	1091.66
42868.95833	6377.16	1092.1
42869	6367.32	1092.54
42869.04167	6356.26	1092.99
42869.08333	6347.65	1093.43
42869.125	6377.88	1093.87
42869.16667	6418.84	1094.31
42869.20833	6421.56	1094.75
42869.25	6408.94	1095.19
42869.29167	6394	1095.63
42869.33333	6379.97	1096.06
42869.375	6367.54	1096.5
42869.41667	6356.17	1096.94
42869.45833	6345.32	1097.38
42869.5	6333.12	1097.81
42869.54167	6314.13	1098.25
42869.58333	6285.31	1098.68
42869.625	6249.85	1099.12
42869.66667	6215.81	1099.55
42869.70833	6188.41	1099.98
42869.75	6160.06	1100.42
42869.79167	6130.99	1100.85
42869.83333	6140.56	1101.28
42869.875	6171	1101.71
42869.91667	6179.26	1102.14
42869.95833	6178.35	1102.57
42870	6178.21	1103
42870.04167	6203.11	1103.43
42870.08333	6231.73	1103.86
42870.125	6258.57	1104.29
42870.16667	6282.19	1104.72
42870.20833	6284.5	1105.14
42870.25	6306.34	1105.57
42870.29167	6330.83	1106
42870.33333	6355.85	1106.43
42870.375	6382.22	1106.85
42870.41667	6437.02	1107.28
42870.45833	6486.02	1107.71
42870.5	6480.63	1108.13
42870.54167	6467.36	1108.56
42870.58333	6448.2	1108.98
42870.625	6426.77	1109.41
42870.66667	6404.04	1109.83
42870.70833	6381.44	1110.26
42870.75	6360.63	1110.68
42870.79167	6358.28	1111.1
42870.83333	6517.37	1111.52
42870.875	6701.77	1111.95
42870.91667	6831.21	1112.37
42870.95833	6954.2	1112.79
42871	7097.13	1113.21
42871.04167	7216.59	1113.63
42871.08333	7215.26	1114.05
42871.125	7206.69	1114.47
42871.16667	7195.66	1114.89
42871.20833	7178.38	1115.31
42871.25	7153.26	1115.73
42871.29167	7120.7	1116.14
42871.33333	7081.31	1116.56
42871.375	7035.68	1116.98
