time	basinflow(1)	basingw(1)
43847.20833	6242.72	1484.99
43847.25	6248.35	1484.76
43847.29167	6253.45	1484.53
43847.33333	6258.51	1484.3
43847.375	6263.7	1484.06
43847.41667	6268.91	1483.83
43847.45833	6271.69	1483.6
43847.5	6265.99	1483.37
43847.54167	6248.65	1483.13
43847.58333	6222.42	1482.9
43847.625	6193.64	1482.66
43847.66667	6183.11	1482.43
43847.70833	6272.54	1482.2
43847.75	6355.21	1481.96
43847.79167	6361.52	1481.72
43847.83333	6359.16	1481.49
43847.875	6338.28	1481.25
43847.91667	6331	1481.02
43847.95833	6340.72	1480.78
43848	6357.66	1480.54
43848.04167	6374.54	1480.3
43848.08333	6389.74	1480.07
43848.125	6403.13	1479.83
43848.16667	6414.74	1479.59
43848.20833	6424.71	1479.35
43848.25	6433.51	1479.11
43848.29167	6441.74	1478.87
43848.33333	6449.71	1478.63
43848.375	6457.36	1478.39
43848.41667	6464.48	1478.15
43848.45833	6468.41	1477.91
43848.5	6467.99	1477.67
43848.54167	6474.05	1477.43
43848.58333	6477.75	1477.19
43848.625	6481.29	1476.94
43848.66667	6513.3	1476.7
43848.70833	6594.52	1476.46
43848.75	6702.09	1476.22
43848.79167	6793.7	1475.97
43848.83333	6871.07	1475.73
43848.875	6927.89	1475.49
43848.91667	6959.64	1475.24
43848.95833	6994.23	1475
43849	7019.6	1474.75
43849.04167	7026.51	1474.51
43849.08333	7047.09	1474.26
43849.125	7095.35	1474.02
43849.16667	7152.56	1473.77
43849.20833	7180.08	1473.52
43849.25	7183.27	1473.28
43849.29167	7186.33	1473.03
43849.33333	7190.29	1472.78
43849.375	7194.92	1472.54
43849.41667	7199.66	1472.29
43849.45833	7201.66	1472.04
43849.5	7196.35	1471.79
43849.54167	7185.5	1471.55
43849.58333	7167.97	1471.3
43849.625	7141.25	1471.05
43849.66667	7127.11	1470.8
43849.70833	7113.6	1470.55
43849.75	7082.5	1470.3
43849.79167	7078.6	1470.05
43849.83333	7089.67	1469.8
43849.875	7080.3	1469.55
43849.91667	7069.86	1469.3
43849.95833	7067.89	1469.05
43850	7072.52	1468.8
43850.04167	7082.94	1468.55
43850.08333	7096.1	1468.3
43850.125	7109.02	1468.04
43850.16667	7124.48	1467.79
43850.20833	7165.32	1467.54
43850.25	7214.23	1467.29
43850.29167	7237.92	1467.03
